original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Les Moulins de Lille,50.6217721,3.0736197,"Les Halles de Moulin, Rue Jean Jaurès, 59024 Lille, France",Les Halles de Moulin,,Rue Jean Jaurès,59024,Lille,Lille-Moulins,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT),50.6945221,3.168123085492458,"École Nationale Supérieure des Arts et Industries Textiles - ENSAIT, 2 Allée Louise et Victor Champier, 59100 Roubaix, France",École Nationale Supérieure des Arts et Industries Textiles - ENSAIT,2,Allée Louise et Victor Champier,59100,,Centre-Ville,Roubaix,Nord,Hauts-de-France,0.14432727272727272,HDF,France,0.03608181818181818,fr,0.04858322574626866,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe UGC Ciné Cité Lille,48.859077,2.327998,"Rue de Lille Caisse des Depôts, 56 Rue de Lille, 75007 Paris, France",Rue de Lille Caisse des Depôts,56,Rue de Lille,75007,Paris,Saint-Thomas d'Aquin,Paris,Paris,Île-De-France,,IDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lille Neige,48.1522784,-1.6601083,"L'Ille, BRE, France",L'Ille,,,,,,,,Bretagne,,BRE,France,,fr,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L’Herbe Folle,45.6600698,4.5601646,"L'Herbe Folle, 6 Place de l'Église, 69850 Saint-Martin-en-Haut, France",L'Herbe Folle,6,Place de l'Église,69850,Rampeaux,,Saint-Martin-en-Haut,Rhône,Auvergne-Rhône-Alpes,,ARA,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hospice Gantois,50.621933,3.060429,"Gantois, 59046 Lille, France",Gantois,,,59046,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les 3 Brasseurs,43.289482449999994,5.4819054472259285,"Les 3 Brasseurs, Montée Commandant de Robien, 13011 Marseille, France",Les 3 Brasseurs,,Montée Commandant de Robien,13011,,11e Arrondissement,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quai de Wault,50.6372718,3.0538519,"Le Bouchon du Quai du Wault, Quai du Wault, 59800 Lille, France",Le Bouchon du Quai du Wault,,Quai du Wault,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Esplanade du Champ de Mars,44.9291322,4.888020398505844,"Esplanade du Champ de Mars, 26000 Valence, France",Esplanade du Champ de Mars,,Esplanade du Champ de Mars,26000,,,Valence,Drôme,Auvergne-Rhône-Alpes,,ARA,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue de Béthune,50.5417758,2.7208785,"Rue de Béthune, 62660 Beuvry, France",Rue de Béthune,,Rue de Béthune,62660,,,Beuvry,Pas-de-Calais,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Poussins du Jardin Vauban,48.147878,6.926878,"Rue du Jardin, 88430 Gerbépal, France",,,Rue du Jardin,88430,Gerbépal,,Gerbépal,Vosges,Grand Est,,GES,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collégiale Saint-Pierre,49.42381485,1.7182027620803,"Collégiale Saint-Pierre, Rue Jules Ferry, 76220 Neuf-Marché, France",Collégiale Saint-Pierre,,Rue Jules Ferry,76220,,,Neuf-Marché,Seine-Maritime,Normandie,,NOR,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée d'Art Sacré Moderne,44.97585465,6.507520369014442,"Musée d'art sacré, Rue de l'École, 05220 Le Monêtier-les-Bains, France",Musée d'art sacré,,Rue de l'École,05220,,,Le Monêtier-les-Bains,Hautes-Alpes,Provence-Alpes-Côte d'Azur,,PAC,France,,fr,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
